<<<<<<< HEAD
game_name,percent_positive_reviews,genre,Action,Adventure,Casual,Design_and_Illustration,Early_Access,Free_to_Play,Indie,Massively_Multiplayer,RPG,Racing,Simulation,Sports,Strategy,Utilities
CALL OF JUAREZ™,80,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KING'S BOUNTY: ARMORED PRINCESS,90,"RPG,Strategy",0,0,0,0,0,0,0,0,1,0,0,0,1,0
SAFECRACKER: THE ULTIMATE PUZZLE ADVENTURE,60,"Adventure,Casual",0,1,1,0,0,0,0,0,0,0,0,0,0,0
PAINKILLER OVERDOSE,76,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZUMA DELUXE,92,Casual,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PEGGLE DELUXE,94,Casual,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PEGGLE EXTREME,92,Casual,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PEGGLE™ NIGHTS,94,Casual,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PLANTS VS. ZOMBIES GOTY EDITION,97,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ZUMA'S REVENGE!,94,"Action,Casual",1,0,1,0,0,0,0,0,0,0,0,0,0,0
SNIPER ELITE,76,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JUDGE DREDD: DREDD VS. DEATH,88,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EVIL GENIUS,95,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALIENS VERSUS PREDATOR CLASSIC 2000,87,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BLOODRAYNE,77,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BLOODRAYNE 2,72,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PSYCHONAUTS,95,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SID MEIER'S CIVILIZATION® IV,92,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SID MEIER'S CIVILIZATION® III COMPLETE,86,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SID MEIER'S PIRATES!,93,RPG,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CIVCITY: ROME,74,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CIVILIZATION IV®: WARLORDS,86,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GARRY'S MOD,96,"Indie,Simulation",0,0,0,0,0,0,1,0,0,0,1,0,0,0
RACE - THE WTCC GAME,73,Racing,0,0,0,0,0,0,0,0,0,1,0,0,0,0
S.T.A.L.K.E.R.: SHADOW OF CHERNOBYL,95,"Action,RPG",1,0,0,0,0,0,0,0,1,0,0,0,0,0
FULL SPECTRUM WARRIOR,64,"Action,Strategy",1,0,0,0,0,0,0,0,0,0,0,0,1,0
COMPANY OF HEROES - LEGACY EDITION,94,"Action,Strategy",1,0,0,0,0,0,0,0,0,0,0,0,1,0
"WARHAMMER® 40,000: DAWN OF WAR® - GAME OF THE YEAR EDITION",94,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"WARHAMMER® 40,000: DAWN OF WAR® - DARK CRUSADE",96,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TOTAL WAR: MEDIEVAL II – DEFINITIVE EDITION,94,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CONDEMNED: CRIMINAL ORIGINS,85,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ROME: TOTAL WAR™ - COLLECTION,93,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HEROES OF ANNIHILATED EMPIRES,85,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
COSSACKS: BACK TO WAR,88,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
COSSACKS: ART OF WAR,82,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
COSSACKS: EUROPEAN WARS,72,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
COSSACKS II: BATTLE FOR EUROPE,64,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ZEN OF SUDOKU,88,"Casual,Indie",0,0,1,0,0,0,1,0,0,0,0,0,0,0
NATURAL SELECTION 2,85,"Action,Indie,Strategy",1,0,0,0,0,0,1,0,0,0,0,0,1,0
STAR WARS™ REPUBLIC COMMANDO™,94,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
INDIANA JONES® AND THE FATE OF ATLANTIS™,95,Adventure,0,1,0,0,0,0,0,0,0,0,0,0,0,0
STAR WARS™ JEDI KNIGHT - JEDI ACADEMY™,95,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR WARS™ JEDI KNIGHT II - JEDI OUTCAST™,90,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"STAR WARS: BATTLEFRONT 2 (CLASSIC, 2005)",92,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
THRILLVILLE®: OFF THE RAILS™,88,"Action,Adventure,Racing,Simulation,Strategy",1,1,0,0,0,0,0,0,0,1,1,0,1,0
ARMED AND DANGEROUS®,86,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SHANK,89,"Action,Indie",1,0,0,0,0,0,1,0,0,0,0,0,0,0
GHOST MASTER®,86,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FLATOUT,91,Racing,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MAKING HISTORY: THE CALM & THE STORM,81,"Action,Strategy",1,0,0,0,0,0,0,0,0,0,0,0,1,0
DREAMFALL: THE LONGEST JOURNEY,87,"Adventure,RPG",0,1,0,0,0,0,0,0,1,0,0,0,0,0
THE LONGEST JOURNEY,92,"Action,Adventure,RPG",1,1,0,0,0,0,0,0,1,0,0,0,0,0
NEXUS - THE JUPITER INCIDENT,84,"Indie,Simulation,Strategy",0,0,0,0,0,0,1,0,0,0,1,0,1,0
LOST PLANET™: EXTREME CONDITION,76,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
DEVIL MAY CRY® 3 SPECIAL EDITION,58,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
COMMANDOS: BEHIND ENEMY LINES,88,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
COMMANDOS 3: DESTINATION BERLIN,61,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HITMAN 2: SILENT ASSASSIN,85,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HITMAN: BLOOD MONEY,94,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JUST CAUSE,67,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HITMAN: CODENAME 47,72,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DEUS EX: GAME OF THE YEAR EDITION,95,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DEUS EX: INVISIBLE WAR,60,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
THIEF: DEADLY SHADOWS,84,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TOMB RAIDER: LEGEND,87,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
PROJECT: SNOWBLIND,74,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JADE EMPIRE™: SPECIAL EDITION,74,RPG,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RUNAWAY, A ROAD ADVENTURE",72,Adventure,0,1,0,0,0,0,0,0,0,0,0,0,0,0
X-BLADES,61,"Action,Adventure,RPG",1,1,0,0,0,0,0,0,1,0,0,0,0,0
TWO WORLDS II HD,60,RPG,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SID MEIER'S RAILROADS!,66,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
RAILROAD TYCOON 3,70,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
RAILROAD TYCOON II PLATINUM,84,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
X-COM: TERROR FROM THE DEEP,92,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
X-COM: UFO DEFENSE,94,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MEN OF WAR™,87,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NECROVISION,67,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CALL OF DUTY® 4: MODERN WARFARE®,91,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TOMB RAIDER: ANNIVERSARY,83,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
KANE AND LYNCH: DEAD MEN™,63,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TOMB RAIDER: UNDERWORLD,75,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
BATTLESTATIONS PACIFIC,65,"Action,Strategy",1,0,0,0,0,0,0,0,0,0,0,0,1,0
JUST CAUSE 2,91,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
STRONG BAD'S COOL GAME FOR ATTRACTIVE PEOPLE: SEASON 1,90,Adventure,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GEOMETRY WARS: RETRO EVOLVED,90,Casual,0,0,1,0,0,0,0,0,0,0,0,0,0,0
EVE ONLINE,75,"Action,Free to Play,Massively Multiplayer,RPG,Strategy",1,0,0,0,0,1,0,1,1,0,0,0,1,0
RACE 07,83,Racing,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CIVILIZATION IV: BEYOND THE SWORD,95,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BIOSHOCK INFINITE,95,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FREEDOM FORCE,57,"RPG,Strategy",0,0,0,0,0,0,0,0,1,0,0,0,1,0
FREEDOM FORCE VS. THE THIRD REICH,81,"RPG,Strategy",0,0,0,0,0,0,0,0,1,0,0,0,1,0
SID MEIER'S CIVILIZATION® V,96,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SPEAR OF DESTINY,85,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RETURN TO CASTLE WOLFENSTEIN,92,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DOOM 3,88,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HEXEN II,82,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
COMMANDER KEEN,94,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RAGE,77,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"WARHAMMER® 40,000: DAWN OF WAR® – WINTER ASSAULT",89,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SUPREME COMMANDER,87,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SUPREME COMMANDER: FORGED ALLIANCE,97,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"WARHAMMER® 40,000: DAWN OF WAR® - SOULSTORM",94,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FRONTLINES™: FUEL OF WAR™,62,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SAINTS ROW 2,77,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GISH,63,Indie,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ACT OF WAR: HIGH TREASON,81,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DEATH TO SPIES,75,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
CHAMPIONS ONLINE,72,"Free to Play,Massively Multiplayer,RPG",0,0,0,0,0,1,0,1,1,0,0,0,0,0
STAR TREK ONLINE,76,"Free to Play,Massively Multiplayer,RPG",0,0,0,0,0,1,0,1,1,0,0,0,0,0
BLADE KITTEN,83,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
CALL OF DUTY: WORLD AT WAR,93,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KING'S QUEST™ COLLECTION,80,Adventure,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPACE QUEST™ COLLECTION,77,Adventure,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TIMESHIFT™,80,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PROTOTYPE™,80,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
CALL OF DUTY®: MODERN WARFARE® 2,91,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
POSTAL III,37,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DISCIPLES III: REINCARNATION,71,"RPG,Strategy",0,0,0,0,0,0,0,0,1,0,0,0,1,0
TOTAL WAR: EMPIRE – DEFINITIVE EDITION,90,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALIENS VS. PREDATOR™,89,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TRACKMANIA NATIONS FOREVER,87,Racing,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SHERLOCK HOLMES - NEMESIS,73,"Adventure,RPG",0,1,0,0,0,0,0,0,1,0,0,0,0,0
SHERLOCK HOLMES: THE AWAKENED - REMASTERED EDITION,78,Adventure,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SHERLOCK HOLMES VERSUS JACK THE RIPPER,76,"Adventure,RPG",0,1,0,0,0,0,0,0,1,0,0,0,0,0
SHADOWGROUNDS SURVIVOR,58,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GUMBOY TOURNAMENT,71,"Casual,Indie,Racing",0,0,1,0,0,0,1,0,0,1,0,0,0,0
SPACE TRADER: MERCHANT MARINE,49,"Action,Indie,Strategy",1,0,0,0,0,0,1,0,0,0,0,0,1,0
PENGUINS ARENA: SEDNA'S WORLD,87,"Action,Casual,Indie",1,0,1,0,0,0,1,0,0,0,0,0,0,0
LARVA MORTUS,76,"Action,Indie",1,0,0,0,0,0,1,0,0,0,0,0,0,0
CHAINS,75,Indie,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OVERLORD™,93,RPG,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SOLDIERS: HEROES OF WORLD WAR II,82,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HOSPITAL TYCOON,37,Simulation,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GRAND THEFT AUTO III,86,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GRAND THEFT AUTO: VICE CITY,92,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GRAND THEFT AUTO: SAN ANDREAS,89,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MANHUNT,65,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MAX PAYNE,90,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MAX PAYNE 2: THE FALL OF MAX PAYNE,94,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BULLY: SCHOLARSHIP EDITION,83,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
GRAND THEFT AUTO IV,65,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
GRAND THEFT AUTO: EPISODES FROM LIBERTY CITY,73,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DARKSTAR ONE,81,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FLATOUT: ULTIMATE CARNAGE,83,Racing,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PORT ROYALE 2,65,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PUZZLEQUEST: CHALLENGE OF THE WARLORDS,88,Casual,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18 WHEELS OF STEEL: AMERICAN LONG HAUL,69,Racing,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DRAKENSANG,77,RPG,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OVERLORD™: RAISING HELL,93,RPG,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RISE OF THE ARGONAUTS,67,RPG,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OVERLORD II,87,RPG,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OPERATION FLASHPOINT: DRAGON RISING,64,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UNREAL 2: THE AWAKENING,71,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UNREAL TOURNAMENT 3 BLACK,90,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UNREAL TOURNAMENT 2004: EDITOR'S CHOICE EDITION,97,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UNREAL TOURNAMENT: GAME OF THE YEAR EDITION,97,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PRINCE OF PERSIA: WARRIOR WITHIN™,87,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
FAR CRY®,84,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PRINCE OF PERSIA: THE TWO THRONES™,77,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
TOM CLANCY'S RAINBOW SIX® VEGAS,78,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TOM CLANCY'S SPLINTER CELL®,86,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TOM CLANCY'S SPLINTER CELL CHAOS THEORY®,93,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TOM CLANCY'S SPLINTER CELL DOUBLE AGENT®,44,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PRINCE OF PERSIA®: THE SANDS OF TIME,87,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
RAYMAN RAVING RABBIDS™,75,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
ASSASSIN'S CREED™: DIRECTOR'S CUT EDITION,83,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
TOM CLANCY'S RAINBOW SIX® VEGAS 2,85,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BEYOND GOOD AND EVIL™,91,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
HEROES OF MIGHT & MAGIC V,87,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BROTHERS IN ARMS: ROAD TO HILL 30™,86,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SILENT HUNTER®: WOLVES OF THE PACIFIC,65,Simulation,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SILENT HUNTER® III,86,Simulation,0,0,0,0,0,0,0,0,0,0,1,0,0,0
COLD FEAR™,87,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TOM CLANCY'S GHOST RECON®,92,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IL-2 STURMOVIK: 1946,87,Simulation,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HEROES OF MIGHT & MAGIC V: TRIBES OF THE EAST,92,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BROTHERS IN ARMS: HELL'S HIGHWAY™,89,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
THE WONDERFUL END OF THE WORLD,75,"Indie,Casual",0,0,1,0,0,0,1,0,0,0,0,0,0,0
AAAAAA!!! - A RECKLESS DISREGARD FOR GRAVITY,84,"Action,Indie,Sports",1,0,0,0,0,0,1,0,0,0,0,1,0,0
AAAAAAAAAAAAAAAAAAAAAAAAA!!! FOR THE AWESOME,75,"Action,Indie,Sports",1,0,0,0,0,0,1,0,0,0,0,1,0,0
"WARHAMMER 40,000: DAWN OF WAR II",88,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ODDWORLD: ABE'S ODDYSEE®,86,Adventure,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ODDWORLD: MUNCH'S ODDYSEE,74,"Action,Adventure,Strategy",1,1,0,0,0,0,0,0,0,0,0,0,1,0
ODDWORLD: STRANGER'S WRATH HD,85,"Action,Adventure,Strategy",1,1,0,0,0,0,0,0,0,0,0,0,1,0
F.E.A.R. 2: PROJECT ORIGIN,87,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIALS 2: SECOND EDITION,84,"Indie,Racing,Sports",0,0,0,0,0,0,1,0,0,1,0,1,0,0
INSECTICIDE PART 1,74,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
LEGENDARY,52,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SID MEIER'S CIVILIZATION IV: COLONIZATION,78,Strategy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GROUND BRANCH,81,"Action,Indie,Early Access",1,0,0,0,1,0,1,0,0,0,0,0,0,0
CHILDREN OF THE NILE: ENHANCED EDITION,83,"Strategy,Simulation",0,0,0,0,0,0,0,0,0,0,1,0,1,0
HINTERLAND,75,"RPG,Strategy",0,0,0,0,0,0,0,0,1,0,0,0,1,0
CRYSIS,83,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CRYSIS WARHEAD®,84,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SPORE™,88,Simulation,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MIRROR'S EDGE™,88,"Action,Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0
NEED FOR SPEED UNDERCOVER,69,"Action,Racing",1,0,0,0,0,0,0,0,0,1,0,0,0,0
SPORE™ CREEPY & CUTE PARTS PACK,83,Simulation,0,0,0,0,0,0,0,0,0,0,1,0,0,0
